price_in_aud,brand,year,made_in,body_type,engine_power_hp,torque_nm,no_of_cylinders,transmission_type,gear_box_speed,steering_type,kerb_weight_lbs,front_brake,rear_brake,mileage_in_city_mpg,mileage_on_highway_mpg,fuel_type,seating_capacity,fuel_tank_capacity_litres,no_of_doors
25963.0,Honda,2022,Japan,sedan,290.0,400.02000000000004,4.0,manual,6,power,2625.0,ventilated disc,drum,15.32,20.68,diesel,5,40.0,4
23256.0,Honda,2022,Japan,sedan,290.0,400.02000000000004,4.0,manual,6,power,2625.0,ventilated disc,drum,16.28,20.68,gasoline,5,40.0,4
23515.0,Honda,2022,Japan,sedan,290.0,400.02000000000004,4.0,manual,6,power,2625.0,ventilated disc,drum,15.32,20.68,diesel,5,40.0,4
20650.0,Honda,2022,Japan,sedan,290.0,400.02000000000004,4.0,manual,6,power,2625.0,ventilated disc,drum,15.32,20.68,gasoline,5,40.0,4
23155.0,Honda,2022,Japan,sedan,290.0,400.02000000000004,4.0,automatic,8,power,2625.0,ventilated disc,drum,16.28,20.68,gasoline,5,40.0,4
20635.0,Honda,2022,Japan,suv,290.0,400.02000000000004,4.0,manual,6,power,2625.0,ventilated disc,drum,15.32,20.68,diesel,5,40.0,4
45792.0,Honda,2023,Japan,suv,190.0,242.72400000000002,4.0,automatic,8,power,3975.0,disc,disc,27.0,32.0,gasoline,5,53.06,4
41314.0,Honda,2023,Japan,suv,158.0,187.12800000000001,4.0,automatic,8,power,3975.0,disc,disc,26.0,32.0,gasoline,5,56.092000000000006,4
38722.0,Honda,2023,Japan,suv,158.0,187.12800000000001,4.0,automatic,8,power,3975.0,disc,disc,26.0,32.0,gasoline,5,68.22,4
34056.0,Honda,2023,Japan,suv,158.0,187.12800000000001,4.0,automatic,8,power,3975.0,disc,disc,26.0,32.0,gasoline,5,68.22,4
34056.0,Honda,2023,Japan,suv,158.0,187.12800000000001,4.0,automatic,8,power,3975.0,disc,disc,26.0,32.0,gasoline,5,68.22,4
44194.0,Honda,2023,Japan,suv,158.0,187.12800000000001,4.0,automatic,8,power,3975.0,disc,disc,25.0,30.0,gasoline,5,68.22,4
41602.0,Honda,2023,Japan,suv,158.0,187.12800000000001,4.0,automatic,8,power,3975.0,disc,disc,25.0,30.0,gasoline,5,68.22,4
35784.0,Honda,2023,Japan,suv,158.0,187.12800000000001,4.0,automatic,8,power,3975.0,disc,disc,25.0,30.0,gasoline,5,68.22,4
39600.0,Honda,2022,Japan,sedan,200.0,260.35200000000003,4.0,manual,6,power,2952.0,disc,disc,27.0,37.0,premium,5,46.996,4
41155.0,Honda,2022,Japan,sedan,192.0,260.35200000000003,4.0,automatic,8,power,3223.0,disc,disc,29.0,35.0,gasoline,5,56.092000000000006,4
22349.0,Honda,2022,Japan,hatchback,130.0,154.584,4.0,automatic,6,power,2553.0,disc,disc,29.0,36.0,gasoline,5,40.174,4
27302.0,Honda,2022,Japan,hatchback,128.0,153.228,4.0,automatic,6,power,2644.0,disc,disc,31.0,36.0,gasoline,5,40.174,4
23314.0,Honda,2022,Japan,hatchback,130.0,154.584,4.0,automatic,6,power,2522.0,disc,disc,29.0,36.0,gasoline,5,40.174,4
31493.0,Honda,2022,Japan,suv,141.0,172.21200000000002,4.0,automatic,8,power,2974.0,disc,disc,28.0,34.0,gasoline,5,50.028,4
