price_in_aud,year,engine_power_hp,torque_nm,no_of_cylinders,gear_box_speed,kerb_weight_lbs,mileage_in_city_mpg,mileage_on_highway_mpg,seating_capacity,fuel_tank_capacity_litres,no_of_doors,brand,made_in,body_type,transmission_type,steering_type,front_brake,rear_brake,fuel_type
25963.0,2022,290.0,400.02,4.0,6,2625.0,15.32,20.68,5,40.0,4,Honda,Japan,sedan,manual,power,ventilated disc,drum,diesel
23256.0,2022,290.0,400.02,4.0,6,2625.0,16.28,20.68,5,40.0,4,Honda,Japan,sedan,manual,power,ventilated disc,drum,gasoline
23515.0,2022,290.0,400.02,4.0,6,2625.0,15.32,20.68,5,40.0,4,Honda,Japan,sedan,manual,power,ventilated disc,drum,diesel
20650.0,2022,290.0,400.02,4.0,6,2625.0,15.32,20.68,5,40.0,4,Honda,Japan,sedan,manual,power,ventilated disc,drum,gasoline
23155.0,2022,290.0,400.02,4.0,8,2625.0,16.28,20.68,5,40.0,4,Honda,Japan,sedan,automatic,power,ventilated disc,drum,gasoline
20635.0,2022,290.0,400.02,4.0,6,2625.0,15.32,20.68,5,40.0,4,Honda,Japan,suv,manual,power,ventilated disc,drum,diesel
45792.0,2023,190.0,242.724,4.0,8,3975.0,27.0,32.0,5,53.06,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
41314.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,56.092000000000006,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
38722.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
34056.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
34056.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
44194.0,2023,158.0,187.128,4.0,8,3975.0,25.0,30.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
41602.0,2023,158.0,187.128,4.0,8,3975.0,25.0,30.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
35784.0,2023,158.0,187.128,4.0,8,3975.0,25.0,30.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
39600.0,2022,200.0,260.35200000000003,4.0,6,2952.0,27.0,37.0,5,46.996,4,Honda,Japan,sedan,manual,power,disc,disc,premium
41155.0,2022,192.0,260.35200000000003,4.0,8,3223.0,29.0,35.0,5,56.092000000000006,4,Honda,Japan,sedan,automatic,power,disc,disc,gasoline
22349.0,2022,130.0,154.584,4.0,6,2553.0,29.0,36.0,5,40.174,4,Honda,Japan,hatchback,automatic,power,disc,disc,gasoline
27302.0,2022,128.0,153.228,4.0,6,2644.0,31.0,36.0,5,40.174,4,Honda,Japan,hatchback,automatic,power,disc,disc,gasoline
23314.0,2022,130.0,154.584,4.0,6,2522.0,29.0,36.0,5,40.174,4,Honda,Japan,hatchback,automatic,power,disc,disc,gasoline
31493.0,2022,141.0,172.21200000000002,4.0,8,2974.0,28.0,34.0,5,50.028,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
57557.0,2022,280.0,355.27200000000005,4.0,9,4236.0,19.0,24.0,5,73.905,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
41314.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,56.092000000000006,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
38261.0,2022,141.0,172.21200000000002,4.0,8,2974.0,28.0,34.0,5,50.028,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
36101.0,2022,141.0,172.21200000000002,4.0,8,2959.0,28.0,34.0,5,50.028,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
34056.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
38722.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
36461.0,2022,141.0,172.21200000000002,4.0,8,3096.0,26.0,31.0,5,50.028,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
63806.0,2022,280.0,355.27200000000005,6.0,9,4251.0,19.0,25.0,8,73.905,5,Honda,Japan,suv,automatic,rack & pinion,abs,abs,gasoline
34056.0,2023,158.0,187.128,4.0,8,3975.0,26.0,32.0,5,68.22,4,Honda,Japan,suv,automatic,power,disc,disc,gasoline
47894.0,2022,252.0,370.1880000000001,4.0,10,3380.0,22.0,32.0,5,56.092000000000006,4,Honda,Japan,sedan,automatic,power,disc,disc,gasoline
44165.0,2022,212.0,174.924,4.0,8,3375.0,44.0,41.0,5,48.512,4,Honda,Japan,sedan,automatic,power,disc,disc,hybrid
43301.0,2022,192.0,260.35200000000003,4.0,8,3230.0,29.0,35.0,5,56.092000000000006,4,Honda,Japan,sedan,automatic,power,disc,disc,gasoline
59990.0,2022,280.0,355.27200000000005,6.0,9,4255.0,19.0,26.0,8,73.905,4,Honda,Japan,suv,automatic,power,abs,abs,gasoline
57110.0,2022,280.0,355.27200000000005,6.0,9,4070.0,20.0,27.0,8,73.905,4,Honda,Japan,suv,automatic,power,abs,abs,gasoline
